"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"21","-3.28 (1.17, CI: -5.57, -0.99)","-6.36 (1.1, CI: -8.5, -4.21)","-9.42 (1.14, CI: -11.65, -7.2)","-12.47 (1.21, CI: -14.84, -10.11)","-15.43 (1.28, CI: -17.94, -12.92)","-18.18 (1.38, CI: -20.88, -15.47)","-20.56 (1.48, CI: -23.45, -17.66)","-22.5 (1.56, CI: -25.55, -19.45)","-24.04 (1.63, CI: -27.24, -20.83)","-25.18 (1.72, CI: -28.55, -21.81)","-25.99 (1.79, CI: -29.5, -22.47)","-26.51 (1.87, CI: -30.17, -22.85)","-26.84 (1.96, CI: -30.68, -22.99)","-221.69 (16.6, CI: -254.22, -189.16)","7.49",NA,""
"8","-0.05 (0.22, CI: -0.49, 0.38)","-0.79 (0.21, CI: -1.2, -0.39)","-1.31 (0.33, CI: -1.97, -0.66)","-1.49 (0.44, CI: -2.35, -0.63)","-1.54 (0.55, CI: -2.62, -0.46)","-1.71 (0.64, CI: -2.97, -0.45)","-2.01 (0.71, CI: -3.41, -0.62)","-2.34 (0.78, CI: -3.87, -0.82)","-2.59 (0.84, CI: -4.24, -0.94)","-2.66 (0.9, CI: -4.42, -0.89)","-2.52 (0.95, CI: -4.39, -0.65)","-2.25 (1.02, CI: -4.25, -0.25)","-1.89 (1.11, CI: -4.06, 0.28)","-22.2 (7.44, CI: -36.78, -7.61)","0.73",NA,""
"17","-4.3 (1.35, CI: -6.95, -1.65)","-7.16 (1.21, CI: -9.53, -4.78)","-10.06 (1.17, CI: -12.34, -7.77)","-13.03 (1.15, CI: -15.28, -10.78)","-16.02 (1.12, CI: -18.23, -13.82)","-18.84 (1.14, CI: -21.07, -16.61)","-21.3 (1.17, CI: -23.6, -18.99)","-23.29 (1.21, CI: -25.67, -20.91)","-24.88 (1.28, CI: -27.38, -22.38)","-26.14 (1.36, CI: -28.81, -23.46)","-27.13 (1.45, CI: -29.98, -24.28)","-27.92 (1.54, CI: -30.94, -24.89)","-28.56 (1.67, CI: -31.83, -25.29)","-232.19 (13.69, CI: -259.03, -205.36)","8.71",NA,""
"1","0.06 (0.41, CI: -0.74, 0.87)","-4.15 (0.38, CI: -4.9, -3.4)","-8.04 (0.47, CI: -8.96, -7.11)","-11.37 (0.56, CI: -12.47, -10.27)","-14.24 (0.68, CI: -15.57, -12.91)","-16.79 (0.81, CI: -18.38, -15.2)","-19.05 (0.94, CI: -20.89, -17.21)","-21 (1.08, CI: -23.11, -18.89)","-22.6 (1.22, CI: -24.99, -20.21)","-23.84 (1.36, CI: -26.5, -21.18)","-24.75 (1.49, CI: -27.66, -21.84)","-25.41 (1.62, CI: -28.57, -22.24)","-25.89 (1.76, CI: -29.34, -22.44)","-204.15 (11.14, CI: -225.98, -182.32)","2.28",NA,""
"3","-3.1 (1.03, CI: -5.12, -1.08)","-6.13 (0.9, CI: -7.9, -4.36)","-9.15 (0.88, CI: -10.87, -7.43)","-12.15 (0.88, CI: -13.88, -10.43)","-15.07 (0.88, CI: -16.8, -13.33)","-17.75 (0.93, CI: -19.58, -15.93)","-20.08 (1, CI: -22.03, -18.12)","-22 (1.07, CI: -24.08, -19.91)","-23.54 (1.16, CI: -25.81, -21.28)","-24.75 (1.27, CI: -27.24, -22.27)","-25.68 (1.37, CI: -28.36, -22.99)","-26.37 (1.48, CI: -29.27, -23.47)","-26.91 (1.61, CI: -30.06, -23.75)","-217.67 (11.58, CI: -240.36, -194.97)","6.54",NA,""
"6","-1.42 (1.38, CI: -4.12, 1.28)","-2.32 (1.2, CI: -4.66, 0.03)","-3.17 (1.13, CI: -5.39, -0.96)","-3.96 (1.11, CI: -6.13, -1.79)","-4.72 (1.14, CI: -6.96, -2.48)","-5.53 (1.25, CI: -7.98, -3.07)","-6.37 (1.39, CI: -9.1, -3.65)","-7.16 (1.56, CI: -10.23, -4.1)","-7.78 (1.77, CI: -11.24, -4.32)","-8.12 (1.98, CI: -12.01, -4.24)","-8.19 (2.2, CI: -12.51, -3.88)","-8.06 (2.44, CI: -12.83, -3.28)","-7.78 (2.69, CI: -13.06, -2.5)","-69.99 (16.47, CI: -102.26, -37.71)","10.01",NA,""
"16","-0.91 (1.05, CI: -2.97, 1.14)","-1.93 (0.91, CI: -3.71, -0.15)","-2.8 (0.88, CI: -4.53, -1.07)","-3.41 (0.89, CI: -5.16, -1.66)","-3.88 (0.95, CI: -5.74, -2.01)","-4.38 (1.08, CI: -6.49, -2.28)","-5.03 (1.22, CI: -7.41, -2.65)","-5.69 (1.38, CI: -8.39, -2.99)","-6.22 (1.56, CI: -9.28, -3.15)","-6.45 (1.76, CI: -9.9, -3.01)","-6.38 (1.95, CI: -10.21, -2.55)","-6.07 (2.15, CI: -10.29, -1.85)","-5.6 (2.38, CI: -10.26, -0.94)","-55.5 (14.34, CI: -83.6, -27.4)","7.53",NA,""
"11","-4.24 (1.39, CI: -6.96, -1.52)","-7.14 (1.3, CI: -9.69, -4.6)","-10.1 (1.33, CI: -12.7, -7.5)","-13.17 (1.39, CI: -15.89, -10.44)","-16.27 (1.46, CI: -19.13, -13.41)","-19.2 (1.55, CI: -22.24, -16.16)","-21.74 (1.64, CI: -24.96, -18.52)","-23.76 (1.71, CI: -27.12, -20.4)","-25.32 (1.79, CI: -28.82, -21.82)","-26.46 (1.87, CI: -30.12, -22.8)","-27.24 (1.94, CI: -31.04, -23.45)","-27.74 (2.01, CI: -31.68, -23.81)","-28.05 (2.1, CI: -32.17, -23.92)","-234.29 (18.54, CI: -270.62, -197.96)","8.9",NA,""
"4","-0.71 (0.89, CI: -2.47, 1.04)","-1.65 (0.75, CI: -3.12, -0.18)","-2.44 (0.75, CI: -3.91, -0.98)","-2.99 (0.78, CI: -4.51, -1.47)","-3.44 (0.86, CI: -5.12, -1.76)","-3.98 (0.99, CI: -5.92, -2.03)","-4.66 (1.14, CI: -6.89, -2.42)","-5.34 (1.3, CI: -7.89, -2.79)","-5.87 (1.49, CI: -8.78, -2.95)","-6.08 (1.67, CI: -9.36, -2.8)","-5.98 (1.86, CI: -9.62, -2.34)","-5.63 (2.05, CI: -9.65, -1.61)","-5.11 (2.26, CI: -9.55, -0.68)","-50.97 (13.43, CI: -77.3, -24.64)","6.17",NA,""
"7","0.05 (0.26, CI: -0.45, 0.55)","-4.15 (0.28, CI: -4.7, -3.59)","-8.03 (0.47, CI: -8.96, -7.11)","-11.37 (0.65, CI: -12.65, -10.1)","-14.26 (0.82, CI: -15.86, -12.65)","-16.81 (0.97, CI: -18.71, -14.92)","-19.07 (1.09, CI: -21.2, -16.94)","-21.01 (1.19, CI: -23.35, -18.67)","-22.61 (1.29, CI: -25.13, -20.08)","-23.85 (1.37, CI: -26.54, -21.16)","-24.76 (1.45, CI: -27.59, -21.92)","-25.42 (1.52, CI: -28.4, -22.43)","-25.9 (1.61, CI: -29.06, -22.75)","-204.26 (11.57, CI: -226.93, -181.58)","0.99",NA,""
"5","-4.3 (1.35, CI: -6.95, -1.65)","-7.16 (1.21, CI: -9.53, -4.78)","-10.06 (1.17, CI: -12.34, -7.77)","-13.03 (1.15, CI: -15.28, -10.78)","-16.02 (1.12, CI: -18.23, -13.82)","-18.84 (1.14, CI: -21.07, -16.61)","-21.3 (1.17, CI: -23.6, -18.99)","-23.29 (1.21, CI: -25.67, -20.91)","-24.88 (1.28, CI: -27.38, -22.38)","-26.14 (1.36, CI: -28.81, -23.46)","-27.13 (1.45, CI: -29.98, -24.28)","-27.92 (1.54, CI: -30.94, -24.89)","-28.56 (1.67, CI: -31.83, -25.29)","-232.19 (13.69, CI: -259.03, -205.36)","8.71",NA,""
"20","0.03 (0.2, CI: -0.35, 0.42)","-0.69 (0.22, CI: -1.12, -0.27)","-1.31 (0.35, CI: -2.01, -0.62)","-1.72 (0.48, CI: -2.66, -0.79)","-1.88 (0.58, CI: -3.03, -0.74)","-1.94 (0.7, CI: -3.3, -0.58)","-2.06 (0.79, CI: -3.6, -0.52)","-2.3 (0.85, CI: -3.96, -0.64)","-2.54 (0.91, CI: -4.32, -0.76)","-2.67 (0.97, CI: -4.57, -0.76)","-2.59 (1.03, CI: -4.6, -0.57)","-2.32 (1.08, CI: -4.45, -0.2)","-1.96 (1.16, CI: -4.24, 0.32)","-22.99 (7.99, CI: -38.64, -7.34)","0",NA,""
"13","0.19 (0.36, CI: -0.52, 0.9)","-3.91 (0.36, CI: -4.62, -3.2)","-7.83 (0.5, CI: -8.8, -6.86)","-11.38 (0.61, CI: -12.57, -10.19)","-14.44 (0.7, CI: -15.82, -13.06)","-17.04 (0.84, CI: -18.69, -15.39)","-19.22 (0.98, CI: -21.13, -17.31)","-21.01 (1.09, CI: -23.15, -18.88)","-22.46 (1.23, CI: -24.87, -20.06)","-23.6 (1.37, CI: -26.29, -20.92)","-24.49 (1.5, CI: -27.42, -21.55)","-25.17 (1.62, CI: -28.34, -22)","-25.72 (1.75, CI: -29.16, -22.28)","-203.32 (11.13, CI: -225.14, -181.5)","0.79",NA,""
"14","0.03 (0.28, CI: -0.52, 0.59)","-0.71 (0.27, CI: -1.23, -0.19)","-1.34 (0.37, CI: -2.06, -0.62)","-1.74 (0.44, CI: -2.6, -0.87)","-1.87 (0.5, CI: -2.84, -0.89)","-1.89 (0.6, CI: -3.07, -0.71)","-1.98 (0.7, CI: -3.35, -0.6)","-2.2 (0.78, CI: -3.72, -0.68)","-2.45 (0.87, CI: -4.16, -0.74)","-2.62 (0.99, CI: -4.56, -0.69)","-2.62 (1.07, CI: -4.73, -0.52)","-2.47 (1.15, CI: -4.73, -0.22)","-2.23 (1.25, CI: -4.68, 0.21)","-22.98 (7.75, CI: -38.17, -7.78)","0.48",NA,""
"9","-3.07 (1.09, CI: -5.21, -0.93)","-6.1 (1.02, CI: -8.09, -4.1)","-9.13 (1.06, CI: -11.21, -7.04)","-12.17 (1.14, CI: -14.4, -9.94)","-15.15 (1.22, CI: -17.54, -12.75)","-17.9 (1.33, CI: -20.51, -15.3)","-20.29 (1.43, CI: -23.09, -17.49)","-22.25 (1.51, CI: -25.21, -19.28)","-23.79 (1.59, CI: -26.91, -20.66)","-24.94 (1.68, CI: -28.24, -21.65)","-25.75 (1.76, CI: -29.19, -22.31)","-26.27 (1.83, CI: -29.86, -22.68)","-26.6 (1.93, CI: -30.38, -22.82)","-218.57 (16.01, CI: -249.95, -187.19)","6.99",NA,""
"2","-0.05 (0.32, CI: -0.69, 0.58)","-0.79 (0.28, CI: -1.35, -0.24)","-1.32 (0.35, CI: -2, -0.63)","-1.51 (0.4, CI: -2.3, -0.73)","-1.57 (0.48, CI: -2.51, -0.64)","-1.73 (0.57, CI: -2.84, -0.62)","-2 (0.65, CI: -3.28, -0.73)","-2.31 (0.75, CI: -3.77, -0.85)","-2.56 (0.85, CI: -4.22, -0.9)","-2.67 (0.94, CI: -4.51, -0.83)","-2.64 (1.02, CI: -4.63, -0.65)","-2.5 (1.1, CI: -4.65, -0.34)","-2.29 (1.2, CI: -4.65, 0.06)","-22.78 (7.61, CI: -37.69, -7.86)","1.76",NA,""
"24","-1.74 (1.14, CI: -3.97, 0.49)","-2.5 (1.07, CI: -4.61, -0.39)","-3.24 (1.18, CI: -5.56, -0.93)","-3.95 (1.33, CI: -6.56, -1.35)","-4.68 (1.51, CI: -7.63, -1.72)","-5.48 (1.7, CI: -8.8, -2.15)","-6.34 (1.87, CI: -10.01, -2.67)","-7.14 (2.05, CI: -11.16, -3.13)","-7.73 (2.25, CI: -12.14, -3.32)","-7.97 (2.47, CI: -12.82, -3.12)","-7.87 (2.72, CI: -13.21, -2.54)","-7.52 (3.02, CI: -13.43, -1.61)","-6.99 (3.36, CI: -13.56, -0.41)","-68.79 (21.45, CI: -110.83, -26.75)","7.76",NA,""
"18","-1.42 (1.38, CI: -4.12, 1.28)","-2.32 (1.2, CI: -4.66, 0.03)","-3.17 (1.13, CI: -5.39, -0.96)","-3.96 (1.11, CI: -6.13, -1.79)","-4.72 (1.14, CI: -6.96, -2.48)","-5.53 (1.25, CI: -7.98, -3.07)","-6.37 (1.39, CI: -9.1, -3.65)","-7.16 (1.56, CI: -10.23, -4.1)","-7.78 (1.77, CI: -11.24, -4.32)","-8.12 (1.98, CI: -12.01, -4.24)","-8.19 (2.2, CI: -12.51, -3.88)","-8.06 (2.44, CI: -12.83, -3.28)","-7.78 (2.69, CI: -13.06, -2.5)","-69.99 (16.47, CI: -102.26, -37.71)","10.01",NA,""
"22","-1.14 (0.85, CI: -2.8, 0.52)","-2.02 (0.79, CI: -3.57, -0.46)","-2.77 (0.9, CI: -4.54, -1)","-3.31 (1.04, CI: -5.34, -1.27)","-3.74 (1.19, CI: -6.08, -1.41)","-4.26 (1.36, CI: -6.93, -1.59)","-4.94 (1.52, CI: -7.92, -1.97)","-5.65 (1.67, CI: -8.93, -2.36)","-6.17 (1.85, CI: -9.8, -2.54)","-6.35 (2.05, CI: -10.36, -2.33)","-6.15 (2.26, CI: -10.59, -1.71)","-5.66 (2.51, CI: -10.59, -0.74)","-4.98 (2.8, CI: -10.47, 0.52)","-54.07 (17.36, CI: -88.11, -20.04)","5.57",NA,""
"15","-3.34 (1.11, CI: -5.52, -1.15)","-6.4 (0.99, CI: -8.33, -4.47)","-9.44 (0.96, CI: -11.32, -7.57)","-12.44 (0.95, CI: -14.31, -10.58)","-15.33 (0.95, CI: -17.19, -13.48)","-18 (0.98, CI: -19.92, -16.08)","-20.32 (1.03, CI: -22.35, -18.29)","-22.23 (1.09, CI: -24.38, -20.09)","-23.78 (1.17, CI: -26.08, -21.48)","-25 (1.28, CI: -27.5, -22.49)","-25.93 (1.38, CI: -28.63, -23.22)","-26.64 (1.48, CI: -29.54, -23.73)","-27.19 (1.61, CI: -30.34, -24.04)","-220.77 (12.01, CI: -244.32, -197.22)","7.09",NA,""
"10","-0.97 (0.71, CI: -2.37, 0.42)","-1.77 (0.64, CI: -3.03, -0.51)","-2.44 (0.76, CI: -3.93, -0.95)","-2.91 (0.9, CI: -4.68, -1.14)","-3.32 (1.06, CI: -5.4, -1.24)","-3.87 (1.23, CI: -6.28, -1.46)","-4.61 (1.38, CI: -7.31, -1.9)","-5.35 (1.53, CI: -8.34, -2.36)","-5.9 (1.69, CI: -9.22, -2.58)","-6.06 (1.88, CI: -9.74, -2.39)","-5.83 (2.08, CI: -9.9, -1.76)","-5.29 (2.31, CI: -9.81, -0.77)","-4.54 (2.58, CI: -9.6, 0.52)","-50.1 (15.61, CI: -80.7, -19.5)","4.28",NA,""
"23","-4.24 (1.39, CI: -6.96, -1.52)","-7.14 (1.3, CI: -9.69, -4.6)","-10.1 (1.33, CI: -12.7, -7.5)","-13.17 (1.39, CI: -15.89, -10.44)","-16.27 (1.46, CI: -19.13, -13.41)","-19.2 (1.55, CI: -22.24, -16.16)","-21.74 (1.64, CI: -24.96, -18.52)","-23.76 (1.71, CI: -27.12, -20.4)","-25.32 (1.79, CI: -28.82, -21.82)","-26.46 (1.87, CI: -30.12, -22.8)","-27.24 (1.94, CI: -31.04, -23.45)","-27.74 (2.01, CI: -31.68, -23.81)","-28.05 (2.1, CI: -32.17, -23.92)","-234.29 (18.54, CI: -270.62, -197.96)","8.9",NA,""
"19","0.19 (0.24, CI: -0.27, 0.66)","-3.9 (0.28, CI: -4.45, -3.35)","-7.81 (0.48, CI: -8.75, -6.88)","-11.38 (0.66, CI: -12.67, -10.08)","-14.47 (0.83, CI: -16.1, -12.85)","-17.11 (0.99, CI: -19.05, -15.17)","-19.31 (1.13, CI: -21.52, -17.1)","-21.1 (1.23, CI: -23.51, -18.69)","-22.54 (1.32, CI: -25.13, -19.94)","-23.68 (1.41, CI: -26.44, -20.92)","-24.58 (1.48, CI: -27.47, -21.69)","-25.3 (1.54, CI: -28.32, -22.29)","-25.9 (1.61, CI: -29.06, -22.75)","-204.03 (11.74, CI: -227.04, -181.01)","0",NA,""
"12","-1.74 (1.14, CI: -3.97, 0.49)","-2.5 (1.07, CI: -4.61, -0.39)","-3.24 (1.18, CI: -5.56, -0.93)","-3.95 (1.33, CI: -6.56, -1.35)","-4.68 (1.51, CI: -7.63, -1.72)","-5.48 (1.7, CI: -8.8, -2.15)","-6.34 (1.87, CI: -10.01, -2.67)","-7.14 (2.05, CI: -11.16, -3.13)","-7.73 (2.25, CI: -12.14, -3.32)","-7.97 (2.47, CI: -12.82, -3.12)","-7.87 (2.72, CI: -13.21, -2.54)","-7.52 (3.02, CI: -13.43, -1.61)","-6.99 (3.36, CI: -13.56, -0.41)","-68.79 (21.45, CI: -110.83, -26.75)","7.76",NA,""
"91","0.18 (0.24, CI: -0.29, 0.64)","-3.92 (0.28, CI: -4.43, -3.34)","-7.83 (0.47, CI: -8.74, -6.88)","-11.39 (0.65, CI: -12.67, -10.11)","-14.48 (0.82, CI: -16.12, -12.9)","-17.12 (0.98, CI: -19.01, -15.17)","-19.32 (1.11, CI: -21.53, -17.17)","-21.09 (1.21, CI: -23.69, -18.94)","-22.54 (1.29, CI: -25.16, -20.1)","-23.68 (1.37, CI: -26.49, -21.13)","-24.58 (1.42, CI: -27.52, -21.93)","-25.3 (1.47, CI: -28.22, -22.45)","-25.89 (1.56, CI: -29.1, -22.99)","-204.14 (11.54, CI: -226.79, -181.54)","0.23",NA,"Yes"
"140","0.04 (0.2, CI: -0.36, 0.4)","-0.69 (0.22, CI: -1.11, -0.27)","-1.3 (0.36, CI: -1.99, -0.6)","-1.7 (0.48, CI: -2.66, -0.79)","-1.86 (0.57, CI: -3.02, -0.78)","-1.9 (0.68, CI: -3.28, -0.63)","-2.02 (0.76, CI: -3.51, -0.53)","-2.26 (0.83, CI: -3.77, -0.53)","-2.51 (0.88, CI: -4.18, -0.72)","-2.63 (0.95, CI: -4.47, -0.74)","-2.56 (1.01, CI: -4.5, -0.55)","-2.29 (1.07, CI: -4.33, -0.11)","-1.92 (1.17, CI: -4.24, 0.32)","-22.67 (7.84, CI: -37.82, -7.07)","0.17",NA,"Yes"
"115","0.19 (0.24, CI: -0.29, 0.66)","-3.89 (0.27, CI: -4.42, -3.35)","-7.79 (0.46, CI: -8.73, -6.92)","-11.34 (0.64, CI: -12.62, -10.13)","-14.44 (0.79, CI: -16, -12.89)","-17.06 (0.96, CI: -18.92, -15.16)","-19.25 (1.1, CI: -21.37, -17.08)","-21.03 (1.18, CI: -23.32, -18.69)","-22.45 (1.27, CI: -24.89, -19.89)","-23.57 (1.36, CI: -26.3, -20.97)","-24.47 (1.42, CI: -27.17, -21.59)","-25.22 (1.48, CI: -28.23, -22.41)","-25.83 (1.56, CI: -29.06, -22.92)","-203.15 (11.26, CI: -225.3, -181.18)","0.23",NA,"Yes"
