"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"16","-1.09 (1.04, CI: -3.13, 0.96)","-2.15 (0.9, CI: -3.91, -0.39)","-3.05 (0.87, CI: -4.76, -1.34)","-3.68 (0.88, CI: -5.4, -1.96)","-4.16 (0.94, CI: -5.99, -2.32)","-4.67 (1.06, CI: -6.75, -2.6)","-5.34 (1.2, CI: -7.69, -2.99)","-6.02 (1.36, CI: -8.69, -3.36)","-6.57 (1.55, CI: -9.6, -3.54)","-6.83 (1.74, CI: -10.24, -3.41)","-6.77 (1.93, CI: -10.56, -2.98)","-6.48 (2.14, CI: -10.66, -2.29)","-6.02 (2.36, CI: -10.64, -1.39)","-59.26 (14.13, CI: -86.96, -31.56)","7.48",NA,""
"8","0.04 (0.17, CI: -0.29, 0.37)","-0.78 (0.17, CI: -1.12, -0.44)","-1.38 (0.3, CI: -1.97, -0.79)","-1.63 (0.41, CI: -2.44, -0.83)","-1.74 (0.52, CI: -2.75, -0.72)","-1.92 (0.61, CI: -3.12, -0.73)","-2.21 (0.68, CI: -3.54, -0.88)","-2.51 (0.74, CI: -3.96, -1.05)","-2.73 (0.81, CI: -4.32, -1.15)","-2.81 (0.87, CI: -4.52, -1.1)","-2.72 (0.93, CI: -4.55, -0.9)","-2.52 (1.01, CI: -4.49, -0.55)","-2.25 (1.1, CI: -4.41, -0.1)","-24.07 (7.16, CI: -38.1, -10.04)","0.1",NA,""
"5","-4.3 (1.36, CI: -6.96, -1.64)","-7.11 (1.22, CI: -9.5, -4.73)","-9.98 (1.17, CI: -12.28, -7.68)","-12.95 (1.16, CI: -15.21, -10.68)","-15.95 (1.14, CI: -18.17, -13.72)","-18.79 (1.15, CI: -21.04, -16.53)","-21.26 (1.19, CI: -23.59, -18.93)","-23.26 (1.23, CI: -25.67, -20.85)","-24.87 (1.3, CI: -27.41, -22.33)","-26.13 (1.39, CI: -28.85, -23.42)","-27.14 (1.48, CI: -30.03, -24.24)","-27.94 (1.57, CI: -31.02, -24.87)","-28.61 (1.7, CI: -31.93, -25.28)","-231.83 (13.88, CI: -259.03, -204.64)","8.75",NA,""
"22","-1.31 (0.84, CI: -2.97, 0.34)","-2.24 (0.79, CI: -3.79, -0.69)","-3.02 (0.9, CI: -4.78, -1.26)","-3.56 (1.03, CI: -5.58, -1.55)","-3.99 (1.18, CI: -6.31, -1.68)","-4.5 (1.35, CI: -7.15, -1.85)","-5.2 (1.5, CI: -8.15, -2.25)","-5.93 (1.66, CI: -9.18, -2.67)","-6.49 (1.84, CI: -10.1, -2.88)","-6.71 (2.04, CI: -10.7, -2.71)","-6.55 (2.26, CI: -10.97, -2.12)","-6.1 (2.51, CI: -11.02, -1.18)","-5.46 (2.8, CI: -10.95, 0.04)","-57.66 (17.26, CI: -91.49, -23.83)","5.55",NA,""
"21","-3.26 (1.17, CI: -5.55, -0.98)","-6.29 (1.1, CI: -8.44, -4.14)","-9.32 (1.14, CI: -11.55, -7.1)","-12.35 (1.21, CI: -14.72, -9.99)","-15.32 (1.28, CI: -17.84, -12.81)","-18.08 (1.38, CI: -20.79, -15.37)","-20.48 (1.48, CI: -23.38, -17.57)","-22.43 (1.56, CI: -25.49, -19.37)","-23.98 (1.64, CI: -27.2, -20.76)","-25.15 (1.73, CI: -28.53, -21.76)","-25.99 (1.8, CI: -29.52, -22.45)","-26.56 (1.88, CI: -30.24, -22.89)","-26.95 (1.97, CI: -30.81, -23.09)","-221.06 (16.65, CI: -253.7, -188.42)","7.49",NA,""
"3","-3.06 (1.04, CI: -5.1, -1.03)","-6.04 (0.91, CI: -7.82, -4.26)","-9.02 (0.89, CI: -10.76, -7.29)","-12.02 (0.89, CI: -13.76, -10.28)","-14.95 (0.89, CI: -16.7, -13.2)","-17.67 (0.94, CI: -19.52, -15.82)","-20.02 (1.01, CI: -22, -18.04)","-21.95 (1.08, CI: -24.06, -19.84)","-23.5 (1.17, CI: -25.8, -21.21)","-24.73 (1.28, CI: -27.24, -22.22)","-25.68 (1.39, CI: -28.39, -22.96)","-26.41 (1.49, CI: -29.33, -23.48)","-26.99 (1.63, CI: -30.17, -23.8)","-217.02 (11.74, CI: -240.02, -194.01)","6.6",NA,""
"7","-0.03 (0.23, CI: -0.49, 0.43)","-4.02 (0.28, CI: -4.56, -3.47)","-7.79 (0.48, CI: -8.72, -6.85)","-11.18 (0.66, CI: -12.47, -9.88)","-14.15 (0.83, CI: -15.79, -12.52)","-16.72 (0.98, CI: -18.65, -14.8)","-18.91 (1.1, CI: -21.07, -16.75)","-20.75 (1.21, CI: -23.12, -18.39)","-22.29 (1.3, CI: -24.83, -19.74)","-23.54 (1.38, CI: -26.25, -20.84)","-24.58 (1.45, CI: -27.42, -21.73)","-25.44 (1.53, CI: -28.43, -22.45)","-26.19 (1.61, CI: -29.34, -23.03)","-202.48 (11.67, CI: -225.35, -179.61)","0.94",NA,""
"20","0.04 (0.17, CI: -0.29, 0.37)","-0.8 (0.19, CI: -1.18, -0.42)","-1.5 (0.32, CI: -2.13, -0.86)","-1.92 (0.44, CI: -2.79, -1.06)","-2.03 (0.54, CI: -3.1, -0.97)","-2.04 (0.65, CI: -3.31, -0.77)","-2.17 (0.73, CI: -3.61, -0.73)","-2.51 (0.79, CI: -4.07, -0.96)","-2.9 (0.85, CI: -4.57, -1.23)","-3.17 (0.91, CI: -4.96, -1.38)","-3.18 (0.97, CI: -5.07, -1.28)","-2.95 (1.02, CI: -4.96, -0.95)","-2.6 (1.1, CI: -4.76, -0.44)","-26.46 (7.51, CI: -41.19, -11.74)","0",NA,""
"13","0.18 (0.37, CI: -0.54, 0.9)","-3.74 (0.36, CI: -4.46, -3.03)","-7.53 (0.5, CI: -8.51, -6.56)","-11.05 (0.61, CI: -12.23, -9.86)","-14.17 (0.7, CI: -15.54, -12.81)","-16.86 (0.83, CI: -18.49, -15.22)","-19.05 (0.96, CI: -20.94, -17.16)","-20.77 (1.07, CI: -22.87, -18.67)","-22.15 (1.21, CI: -24.51, -19.78)","-23.3 (1.35, CI: -25.94, -20.66)","-24.32 (1.47, CI: -27.2, -21.44)","-25.24 (1.59, CI: -28.35, -22.13)","-26.08 (1.72, CI: -29.45, -22.71)","-201.13 (10.98, CI: -222.66, -179.6)","0.85",NA,""
"4","-0.86 (0.88, CI: -2.59, 0.88)","-1.84 (0.74, CI: -3.28, -0.4)","-2.67 (0.73, CI: -4.1, -1.23)","-3.24 (0.76, CI: -4.73, -1.76)","-3.71 (0.84, CI: -5.36, -2.07)","-4.26 (0.97, CI: -6.17, -2.35)","-4.95 (1.12, CI: -7.15, -2.75)","-5.65 (1.29, CI: -8.17, -3.13)","-6.18 (1.47, CI: -9.06, -3.3)","-6.41 (1.66, CI: -9.66, -3.16)","-6.31 (1.84, CI: -9.92, -2.7)","-5.97 (2.03, CI: -9.96, -1.99)","-5.46 (2.25, CI: -9.87, -1.06)","-54.35 (13.21, CI: -80.25, -28.46)","6.08",NA,""
