"setting.idx","method","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5","EN","EN.Overdose","DLT_pts","duration"
1,"ours0.s1",11.35,9.38,4.02,1.09,0.24,26.08,5.35,0,29.21
1,"ours0.s2",1.07,0.43,0.23,0.08,0.01,1.82,0.32,0,2.16
1,"ours0.total",12.43,9.81,4.25,1.16,0.25,27.9,5.67,6.04,31.37
1,"bf.s1",10.81,9.49,4.31,1.14,0.24,26,5.7,0,29.12
1,"bf.s2",0,0,0,0,0,0,0,0,0
1,"bf.total",10.81,9.49,4.31,1.14,0.24,26,5.7,6.03,29.12
1,"ours1.s1",10.1,9.09,4.25,1.28,0.33,25.06,5.87,0,26.29
1,"ours1.s2",2.17,0.84,0.29,0.09,0.02,3.4,0.4,0,3.86
1,"ours1.total",12.27,9.93,4.55,1.37,0.35,28.46,6.27,5.9,30.15
1,"ours2.s1",10.3,9.16,4.22,1.27,0.31,25.25,5.79,0,26.76
1,"ours2.s2",2,0.79,0.3,0.1,0.01,3.19,0.41,0,3.65
1,"ours2.total",12.29,9.95,4.52,1.36,0.32,28.44,6.2,5.92,30.41
1,"ours3.s1",10.22,9.07,4.28,1.17,0.31,25.05,5.76,0,26.54
1,"ours3.s2",0,0,0,0,0,0,0,0,0
1,"ours3.total",10.22,9.07,4.28,1.17,0.31,25.05,5.76,5.87,26.54
1,"titeet",16.1,9.3,3.3,0.8,0.1,29.6,4.2,6.3,30.46
1,"tite12",8.3,6.7,4.3,2.4,1,22.7,7.7,6,22.91
1,"bfet",9.83,9.71,5.41,1.95,0.56,27.47,7.92,6.78,27.8
61,"ours0.s1",12.4,9.78,4.16,1.1,0.22,27.65,5.48,0,37.81
61,"ours0.s2",0.24,0.2,0.17,0.07,0,0.69,0.25,0,1.21
61,"ours0.total",12.63,9.98,4.32,1.18,0.22,28.34,5.72,6.28,39.02
61,"bf.s1",11.99,10.02,4.31,1.11,0.22,27.65,5.64,0,37.88
61,"bf.s2",0,0,0,0,0,0,0,0,0
61,"bf.total",11.99,10.02,4.31,1.11,0.22,27.65,5.64,6.3,37.88
61,"ours1.s1",10.29,9.04,4.13,1.21,0.28,24.95,5.62,0,28.6
61,"ours1.s2",2,0.76,0.29,0.08,0.01,3.14,0.39,0,4.49
61,"ours1.total",12.29,9.8,4.43,1.29,0.29,28.09,6.01,5.85,33.08
61,"ours2.s1",10.5,9.1,4.17,1.15,0.26,25.18,5.59,0,29.12
61,"ours2.s2",1.83,0.72,0.3,0.09,0.02,2.95,0.41,0,4.26
61,"ours2.total",12.32,9.81,4.47,1.24,0.28,28.13,6,5.88,33.39
61,"ours3.s1",10.46,9.1,4.24,1.16,0.29,25.25,5.69,0,29.09
61,"ours3.s2",0,0,0,0,0,0,0,0,0
61,"ours3.total",10.46,9.1,4.24,1.16,0.29,25.25,5.69,5.89,29.09
61,"titeet",16.1,9.4,3.3,0.8,0.1,29.7,4.2,6.3,35.9
61,"tite12",8.2,6.7,4.4,2.5,1.1,22.9,8,5.9,28.09
61,"bfet",9.8,9.67,5.41,1.96,0.56,27.4,7.93,6.78,29.5
41,"ours0.s1",12.4,9.84,4.21,1.1,0.26,27.81,5.57,0,35.61
41,"ours0.s2",0.3,0.25,0.19,0.07,0.01,0.83,0.28,0,1.23
41,"ours0.total",12.7,10.09,4.4,1.18,0.27,28.63,5.84,6.29,36.84
41,"bf.s1",11.8,9.99,4.41,1.1,0.22,27.52,5.73,0,35.26
41,"bf.s2",0,0,0,0,0,0,0,0,0
41,"bf.total",11.8,9.99,4.41,1.1,0.22,27.52,5.73,6.3,35.26
41,"ours1.s1",11.23,9.32,4.21,1.15,0.25,26.17,5.62,0,30.35
41,"ours1.s2",1.25,0.63,0.3,0.09,0.02,2.3,0.41,0,3.08
41,"ours1.total",12.48,9.95,4.52,1.24,0.27,28.46,6.03,6.08,33.42
41,"ours2.s1",11.44,9.27,4.11,1.11,0.25,26.18,5.47,0,30.89
41,"ours2.s2",1.06,0.62,0.28,0.12,0.02,2.09,0.41,0,2.86
41,"ours2.total",12.5,9.89,4.39,1.23,0.27,28.28,5.89,6.05,33.76
41,"ours3.s1",11.21,9.19,4.28,1.24,0.29,26.2,5.81,0,30.7
41,"ours3.s2",0,0,0,0,0,0,0,0,0
41,"ours3.total",11.21,9.19,4.28,1.24,0.29,26.2,5.81,6.04,30.7
41,"titeet",15.8,9.2,3.6,1,0.2,29.8,4.8,6.4,33.55
