"setting.idx","method","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5","early.stop"
1,"MTD.ours0",35.52,44.08,14.6,3.74,0.82,1.24
1,"OBD.ours0",72.8,20.2,4.48,0.68,0.1,
1,"MTD.bf",34.36,45.1,14.84,3.74,0.84,1.12
1,"OBD.bf",71.28,21.68,4.5,1.02,0.1,
1,"MTD.ours1",32.82,43.84,16.74,4.32,1,1.28
1,"OBD.ours1",70.12,22.56,4.62,0.78,0.14,
1,"MTD.ours2",32.98,45.16,15.48,4.38,0.94,1.06
1,"OBD.ours2",71.08,21.92,4.28,0.94,0.14,
1,"MTD.ours3",34.22,43.52,15.9,4.32,0.96,1.08
1,"OBD.ours3",74.22,18.92,4.24,0.96,0.1,
1,"MTD.titeet",36.8,45.3,13,3.1,0.5,1.6
1,"OBD.titeet",59.8,25.1,10,2.9,0.6,
1,"MTD.tite12",9.3,28,33.6,17.7,11,0.36
1,"OBD.tite12",54.4,27.8,11.8,4.3,1.2,
1,"MTD.bfet",,,,,,1.5
1,"OBD.bfet",68.6,22.5,6.1,1.2,0.1,
61,"MTD.ours0",35.48,44.42,14.96,3.38,0.6,1.16
61,"OBD.ours0",72.44,21.44,3.84,0.88,0.02,
61,"MTD.bf",35.36,45.04,13.96,3.74,0.8,1.1
61,"OBD.bf",71.38,21.14,4.82,1.12,0.12,
61,"MTD.ours1",34.64,43.44,15.92,4.3,0.66,1.04
61,"OBD.ours1",71.3,22.44,4,0.78,0.12,
61,"MTD.ours2",34.26,43.7,16.22,3.88,0.86,1.08
61,"OBD.ours2",71.24,21.82,4.56,0.82,0.12,
61,"MTD.ours3",34.3,43.98,15.72,3.9,1,1.1
61,"OBD.ours3",73.8,19.5,4.08,0.94,0.12,
61,"MTD.titeet",36.8,45.5,13.8,2.2,0.4,1.7
61,"OBD.titeet",60.8,26.1,8.8,2.5,0.2,
61,"MTD.tite12",8.9,27.8,34.5,16.4,11.7,0.76
61,"OBD.tite12",52.5,28.2,12.3,4.7,1.5,
61,"MTD.bfet",,,,,,1.9
61,"OBD.bfet",68.8,22.3,5.7,1.1,0.1,
41,"MTD.ours0",34.16,45.24,14.92,3.48,0.9,1.3
41,"OBD.ours0",71.66,21.04,4.48,0.84,0.1,
41,"MTD.bf",35.44,44.48,15.02,3.16,0.7,1.2
41,"OBD.bf",72.44,20.88,4.32,0.7,0.18,
41,"MTD.ours1",34.8,43.78,16.14,3.7,0.66,0.92
41,"OBD.ours1",71.08,22.28,4.4,0.9,0.1,
41,"MTD.ours2",34.68,44.12,15.4,3.62,1,1.18
41,"OBD.ours2",71.72,21.14,4.4,0.9,0.2,
41,"MTD.ours3",34.34,43.32,16.12,4.08,0.92,1.22
41,"OBD.ours3",71.06,21.38,4.64,1.04,0.08,
41,"MTD.titeet",36.2,45.3,13.5,3.2,0.6,1.3
41,"OBD.titeet",61.1,24.2,9.8,3,0.7,
41,"MTD.tite12",8.7,28.9,34.2,16.4,11.3,0.52
41,"OBD.tite12",53.9,27.7,10.8,5.1,2,
41,"MTD.bfet",,,,,,1.5
41,"OBD.bfet",69.3,21.7,5.9,1.4,0.2,
81,"MTD.ours0",36.16,43.9,14.88,2.96,0.62,1.48
81,"OBD.ours0",72.72,20.34,4.34,0.66,0.06,
81,"MTD.bf",35.3,45.82,14,3.06,0.52,1.3
81,"OBD.bf",71.32,21.96,4.14,0.9,0,
81,"MTD.ours1",35.34,44.06,15.32,3.34,0.72,1.22
81,"OBD.ours1",71.46,21.32,4.34,0.72,0.16,
81,"MTD.ours2",35.5,44.38,14.9,3.26,0.48,1.48
81,"OBD.ours2",71.96,21.64,3.46,0.68,0.08,
81,"MTD.ours3",34.5,43.8,15.26,4.32,0.84,1.28
81,"OBD.ours3",70.68,21.36,4.78,1.22,0.1,
81,"MTD.titeet",35.7,46,14.2,2.8,0.4,1.2
81,"OBD.titeet",60.7,24.7,9.6,3.2,0.5,
81,"MTD.tite12",8.7,27.5,33.8,17.3,12,0.64
81,"OBD.tite12",51.5,29.3,12.1,4.8,1.7,
81,"MTD.bfet",,,,,,1.6
81,"OBD.bfet",67.8,23.8,5.6,1.1,0.2,
31,"MTD.ours0",35.44,44.34,15.36,3.32,0.54,1
31,"OBD.ours0",72.32,21.9,3.88,0.54,0.06,
31,"MTD.bf",34.94,45.14,14.64,3.26,0.9,1.12
31,"OBD.bf",71.8,21.24,4.44,0.94,0.18,
31,"MTD.ours1",33.92,42.78,16.64,4.62,0.78,1.26
31,"OBD.ours1",70.3,22.66,4.38,1.04,0.02,
31,"MTD.ours2",33.22,44.4,16.6,3.8,0.86,1.12
31,"OBD.ours2",70.46,22.78,4.28,0.82,0.14,
31,"MTD.ours3",34.14,43.56,16.18,4.06,0.98,1.08
31,"OBD.ours3",73.5,19.62,4.28,0.96,0.1,
31,"MTD.titeet",36.7,46.1,12.9,2.9,0.4,1.5
31,"OBD.titeet",61.2,25.3,9,2.5,0.4,
31,"MTD.tite12",9.1,27.7,34,17.6,10.9,0.58
31,"OBD.tite12",53.1,27.9,11.6,5.4,1.5,
31,"MTD.bfet",,,,,,1.7
31,"OBD.bfet",68.6,22.5,5.8,1.3,0.1,
11,"MTD.ours0",34.36,46.14,14.26,3.4,0.94,0.9
11,"OBD.ours0",71.52,21.52,4.54,0.78,0.12,
11,"MTD.bf",35.34,44.58,15.04,3.2,0.64,1.2
11,"OBD.bf",72.18,21.08,4.36,0.74,0.16,
11,"MTD.ours1",34.1,43.42,16.14,4.08,1.02,1.24
11,"OBD.ours1",68.98,23.26,4.9,1.14,0.04,
11,"MTD.ours2",35.02,43.38,15.52,4.02,0.82,1.24
11,"OBD.ours2",70.96,21.44,5.04,0.7,0.12,
11,"MTD.ours3",34.32,43.42,16.06,4.08,0.9,1.22
11,"OBD.ours3",71.18,21.32,4.62,1.02,0.08,
11,"MTD.titeet",36.1,45.5,13.9,3,0.5,1.1
11,"OBD.titeet",60,25.3,10,3,0.6,
11,"MTD.tite12",9.4,28.4,33.7,16.8,11.3,0.46
11,"OBD.tite12",53.8,28.3,11.9,4.4,1.2,
11,"MTD.bfet",,,,,,1.4
11,"OBD.bfet",68.6,22.6,5.9,1.3,0.2,
71,"MTD.ours0",35.84,44.44,14.78,3.4,0.58,0.96
71,"OBD.ours0",71.82,21.68,4.3,0.68,0.06,
71,"MTD.bf",35.38,44.74,14.56,3.38,0.72,1.22
71,"OBD.bf",71.06,21.64,4.7,1.08,0,
71,"MTD.ours1",34.32,44.12,15.78,3.96,0.84,0.98
71,"OBD.ours1",70.32,22.24,4.82,0.84,0.12,
71,"MTD.ours2",35.02,43.86,15.86,3.3,0.9,1.06
71,"OBD.ours2",72.12,20.72,4.52,0.82,0.2,
71,"MTD.ours3",34.2,43.66,16.12,3.92,0.9,1.2
71,"OBD.ours3",71.74,20.98,4.52,0.96,0.08,
71,"MTD.titeet",37.2,45.7,12.7,2.8,0.4,1.4
71,"OBD.titeet",59.7,26.1,9.6,2.8,0.5,
71,"MTD.tite12",9.1,28,33.5,16.7,12.2,0.44
71,"OBD.tite12",52.9,27.9,12.3,4.8,1.7,
71,"MTD.bfet",,,,,,1.6
71,"OBD.bfet",69.5,21.4,5.7,1.4,0.3,
51,"MTD.ours0",36.38,44.76,14.22,2.8,0.4,1.44
51,"OBD.ours0",72.78,20.56,4.12,0.42,0.06,
51,"MTD.bf",35.22,45.62,14.28,3.02,0.56,1.3
51,"OBD.bf",71.16,22.02,4.26,0.9,0,
51,"MTD.ours1",36.22,42.94,15.68,3.18,0.76,1.22
51,"OBD.ours1",72.32,20.9,4.04,0.7,0.16,
51,"MTD.ours2",35.94,43.62,15.06,3.4,0.52,1.46
51,"OBD.ours2",72.08,21.36,3.6,0.84,0.08,
51,"MTD.ours3",34.5,43.88,15.18,4.3,0.86,1.28
51,"OBD.ours3",70.74,21.38,4.66,1.26,0.1,
51,"MTD.titeet",35.7,46,13.7,3.4,0.4,0.9
51,"OBD.titeet",60.5,25.6,9.4,3,0.5,
51,"MTD.tite12",8.3,28.8,32.8,17.6,11.7,0.76
51,"OBD.tite12",52.6,29.7,11,4.4,1.5,
51,"MTD.bfet",,,,,,1.3
51,"OBD.bfet",67.6,24,5.7,1.1,0.3,
45,"MTD.ours0",1.6,20.42,51.08,21.36,5.52,0.02
45,"OBD.ours0",15.12,20.6,51.58,7.9,1.3,
45,"MTD.bf",1.48,22.34,50.22,21.82,4.14,0
45,"OBD.bf",18.1,21.72,48.96,7.56,1.3,
45,"MTD.ours1",1.86,20.72,50.44,21.36,5.6,0.02
45,"OBD.ours1",15.72,22.02,49.48,7.94,1.28,
45,"MTD.ours2",2.06,21.6,50.94,20.38,4.98,0.04
45,"OBD.ours2",15.56,21.6,50.66,7.46,1.08,
45,"MTD.ours3",1.64,22,48.44,22.86,5.06,0
45,"OBD.ours3",19.12,22.48,45.74,8.3,1.1,
45,"MTD.titeet",1.1,19.8,56.1,19.5,3.4,1.5
45,"OBD.titeet",19.9,14.5,45.1,15.2,3.8,
45,"MTD.tite12",0.2,6.6,31.2,28.9,32.5,0.5
45,"OBD.tite12",17.9,16.6,44,15.1,5.9,
45,"MTD.bfet",,,,,,2.1
45,"OBD.bfet",16.9,18.6,50.1,10,2.2,
21,"MTD.ours0",36.4,44.1,14.4,3.1,0.48,1.52
21,"OBD.ours0",72.04,21.32,4.02,0.54,0.08,
21,"MTD.bf",35.2,45.68,14.26,3.02,0.54,1.3
21,"OBD.bf",71.12,22.06,4.26,0.9,0,
21,"MTD.ours1",34.46,44.52,15.3,3.58,0.68,1.46
21,"OBD.ours1",70.48,21.92,4.32,0.8,0.14,
21,"MTD.ours2",36.08,43.22,15.26,3.4,0.76,1.28
21,"OBD.ours2",71.46,21.92,3.94,0.72,0.06,
21,"MTD.ours3",34.6,43.88,15.2,4.22,0.84,1.26
21,"OBD.ours3",70.68,21.64,4.58,1.14,0.12,
21,"MTD.titeet",35.6,45.7,13.8,3.3,0.5,1.4
21,"OBD.titeet",59,26.1,9.6,3.2,0.7,
21,"MTD.tite12",9.4,28.7,33.3,16.7,11.4,0.54
21,"OBD.tite12",54.5,28.1,11.2,4.2,1.5,
21,"MTD.bfet",,,,,,1.2
21,"OBD.bfet",67,24.5,5.9,1.1,0.3,
