"setting.idx","metric","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5"
1,"True.Tox",0.15,0.25,0.35,0.4,0.45
1,"True.Eff",0.35,0.35,0.36,0.37,0.37
1,"True.Utility",0.25,0.18,0.13,0.1,0.07
61,"True.Tox",0.15,0.25,0.35,0.4,0.45
61,"True.Eff",0.35,0.35,0.36,0.37,0.37
61,"True.Utility",0.25,0.18,0.13,0.1,0.07
41,"True.Tox",0.15,0.25,0.35,0.4,0.45
41,"True.Eff",0.35,0.35,0.36,0.37,0.37
41,"True.Utility",0.25,0.18,0.13,0.1,0.07
81,"True.Tox",0.15,0.25,0.35,0.4,0.45
81,"True.Eff",0.35,0.35,0.36,0.37,0.37
81,"True.Utility",0.25,0.18,0.13,0.1,0.07
31,"True.Tox",0.15,0.25,0.35,0.4,0.45
31,"True.Eff",0.35,0.35,0.36,0.37,0.37
31,"True.Utility",0.25,0.18,0.13,0.1,0.07
11,"True.Tox",0.15,0.25,0.35,0.4,0.45
11,"True.Eff",0.35,0.35,0.36,0.37,0.37
11,"True.Utility",0.25,0.18,0.13,0.1,0.07
71,"True.Tox",0.15,0.25,0.35,0.4,0.45
71,"True.Eff",0.35,0.35,0.36,0.37,0.37
71,"True.Utility",0.25,0.18,0.13,0.1,0.07
51,"True.Tox",0.15,0.25,0.35,0.4,0.45
51,"True.Eff",0.35,0.35,0.36,0.37,0.37
51,"True.Utility",0.25,0.18,0.13,0.1,0.07
45,"True.Tox",0.05,0.12,0.22,0.35,0.4
45,"True.Eff",0.1,0.15,0.38,0.38,0.4
45,"True.Utility",0.07,0.07,0.23,0.15,0.13
21,"True.Tox",0.15,0.25,0.35,0.4,0.45
21,"True.Eff",0.35,0.35,0.36,0.37,0.37
21,"True.Utility",0.25,0.18,0.13,0.1,0.07
42,"True.Tox",0.05,0.15,0.25,0.35,0.4
42,"True.Eff",0.15,0.35,0.36,0.37,0.37
42,"True.Utility",0.12,0.25,0.19,0.14,0.1
5,"True.Tox",0.05,0.12,0.22,0.35,0.4
5,"True.Eff",0.1,0.15,0.38,0.38,0.4
5,"True.Utility",0.07,0.07,0.23,0.15,0.13
15,"True.Tox",0.05,0.12,0.22,0.35,0.4
15,"True.Eff",0.1,0.15,0.38,0.38,0.4
15,"True.Utility",0.07,0.07,0.23,0.15,0.13
2,"True.Tox",0.05,0.15,0.25,0.35,0.4
2,"True.Eff",0.15,0.35,0.36,0.37,0.37
2,"True.Utility",0.12,0.25,0.19,0.14,0.1
75,"True.Tox",0.05,0.12,0.22,0.35,0.4
75,"True.Eff",0.1,0.15,0.38,0.38,0.4
75,"True.Utility",0.07,0.07,0.23,0.15,0.13
35,"True.Tox",0.05,0.12,0.22,0.35,0.4
35,"True.Eff",0.1,0.15,0.38,0.38,0.4
35,"True.Utility",0.07,0.07,0.23,0.15,0.13
65,"True.Tox",0.05,0.12,0.22,0.35,0.4
65,"True.Eff",0.1,0.15,0.38,0.38,0.4
65,"True.Utility",0.07,0.07,0.23,0.15,0.13
85,"True.Tox",0.05,0.12,0.22,0.35,0.4
85,"True.Eff",0.1,0.15,0.38,0.38,0.4
85,"True.Utility",0.07,0.07,0.23,0.15,0.13
52,"True.Tox",0.05,0.15,0.25,0.35,0.4
52,"True.Eff",0.15,0.35,0.36,0.37,0.37
52,"True.Utility",0.12,0.25,0.19,0.14,0.1
25,"True.Tox",0.05,0.12,0.22,0.35,0.4
25,"True.Eff",0.1,0.15,0.38,0.38,0.4
25,"True.Utility",0.07,0.07,0.23,0.15,0.13
