"setting.idx","method","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5","EN","EN.Overdose","DLT_pts","duration"
1,"ours0.s1",12.86,9.94,4.22,1.04,0.18,28.23,5.44,0,41.33
1,"ours0.s2",0.07,0.11,0.13,0.07,0.01,0.39,0.21,0,0.68
1,"ours0.total",12.93,10.05,4.35,1.11,0.19,28.62,5.64,6.35,42.01
1,"bf.s1",12.43,10.32,4.44,1.09,0.2,28.48,5.73,0,41.61
1,"bf.s2",0,0,0,0,0,0,0,0,0
1,"bf.total",12.43,10.32,4.44,1.09,0.2,28.48,5.73,6.46,41.61
1,"ours1.s1",11.97,9.53,4.25,1.15,0.25,27.14,5.65,0,34.72
1,"ours1.s2",0.64,0.45,0.24,0.09,0.01,1.44,0.35,0,2.3
1,"ours1.total",12.61,9.98,4.49,1.24,0.26,28.58,5.99,6.26,37.02
1,"ours2.s1",12.1,9.64,4.18,1.08,0.22,27.22,5.48,0,35.46
1,"ours2.s2",0.55,0.37,0.23,0.07,0.01,1.23,0.31,0,2.05
1,"ours2.total",12.65,10.02,4.4,1.16,0.23,28.45,5.79,6.27,37.5
1,"ours3.s1",12.07,9.59,4.3,1.21,0.26,27.43,5.77,0,35.48
1,"ours3.s2",0,0,0,0,0,0,0,0,0
1,"ours3.total",12.07,9.59,4.3,1.21,0.26,27.43,5.77,6.26,35.48
1,"titeet",15.6,9.3,3.8,0.9,0.2,29.8,4.9,6.5,37.12
1,"tite12",8.9,6.6,3.8,1.9,0.7,21.9,6.4,5.4,27.81
1,"bfet",10.44,9.74,5.18,1.77,0.49,27.61,7.44,6.48,32.2
5,"ours0.s1",8.28,10.81,9.94,4.61,1.14,34.77,5.74,0,49.12
5,"ours0.s2",0.06,0.16,0.57,0.5,0.1,1.39,0.6,0,2.19
5,"ours0.total",8.34,10.97,10.51,5.11,1.24,36.17,6.35,5.94,51.31
5,"bf.s1",7.17,10.93,10.15,4.8,1.1,34.16,5.9,0,48.97
5,"bf.s2",0,0,0,0,0,0,0,0,0
5,"bf.total",7.17,10.93,10.15,4.8,1.1,34.16,5.9,6.01,48.97
5,"ours1.s1",7.59,9.74,9.35,4.54,1.24,32.46,5.78,0,39.94
5,"ours1.s2",0.61,0.87,0.98,0.69,0.12,3.26,0.81,0,4.87
5,"ours1.total",8.2,10.6,10.33,5.24,1.36,35.73,6.59,5.72,44.81
5,"ours2.s1",7.73,9.88,9.43,4.5,1.25,32.78,5.75,0,40.91
5,"ours2.s2",0.46,0.73,0.96,0.7,0.13,2.98,0.83,0,4.5
5,"ours2.total",8.19,10.6,10.39,5.2,1.38,35.76,6.58,5.73,45.4
5,"ours3.s1",7.65,9.84,9.49,4.61,1.31,32.9,5.92,0,40.76
5,"ours3.s2",0,0,0,0,0,0,0,0,0
5,"ours3.total",7.65,9.84,9.49,4.61,1.31,32.9,5.92,5.75,40.76
5,"titeet",5.7,8.4,10.8,4,1.1,30,5.1,5.5,39.54
5,"tite12",5.5,6.2,7.5,4.6,2,25.8,6.6,5.2,33.97
5,"bfet",5.8,8.25,9.95,5.65,1.95,31.6,7.6,6.09,38.2
11,"ours0.s1",13.61,10.65,4.28,0.98,0.15,29.66,5.41,0,30.49
11,"ours0.s2",0,0.04,0.09,0.05,0.01,0.2,0.16,0,0.23
11,"ours0.total",13.61,10.69,4.37,1.03,0.17,29.86,5.57,6.63,30.72
11,"bf.s1",13.19,10.91,4.45,0.96,0.14,29.65,5.55,0,30.29
11,"bf.s2",0,0,0,0,0,0,0,0,0
11,"bf.total",13.19,10.91,4.45,0.96,0.14,29.65,5.55,6.68,30.29
11,"ours1.s1",13.23,10.59,4.47,1.14,0.19,29.62,5.8,0,24.78
11,"ours1.s2",0.05,0.13,0.15,0.07,0.01,0.4,0.23,0,0.48
11,"ours1.total",13.28,10.72,4.62,1.21,0.2,30.02,6.02,6.74,25.26
11,"ours2.s1",13.28,10.63,4.52,1.1,0.17,29.69,5.79,0,25.29
11,"ours2.s2",0.03,0.09,0.15,0.06,0.01,0.34,0.22,0,0.4
11,"ours2.total",13.31,10.72,4.67,1.16,0.18,30.03,6,6.75,25.69
11,"ours3.s1",13.25,10.55,4.44,1.08,0.19,29.51,5.72,0,25.12
11,"ours3.s2",0,0,0,0,0,0,0,0,0
11,"ours3.total",13.25,10.55,4.44,1.08,0.19,29.51,5.72,6.68,25.12
11,"titeet",15.6,9.4,3.7,1,0.2,29.9,4.9,6.4,24.57
11,"tite12",8.5,6.5,4,2.3,0.9,22.2,7.2,5.6,20.14
11,"bfet",11.58,9.82,4.67,1.3,0.29,27.67,6.26,6.09,20.2
2,"ours0.s1",9.53,12.29,8.73,3.66,0.93,35.14,4.6,0,48.43
2,"ours0.s2",0.11,0.19,0.44,0.28,0.06,1.07,0.33,0,1.8
2,"ours0.total",9.64,12.48,9.17,3.94,0.99,36.21,4.93,6.18,50.23
2,"bf.s1",8.5,12.28,9.16,3.76,0.87,34.57,4.63,0,48.29
2,"bf.s2",0,0,0,0,0,0,0,0,0
2,"bf.total",8.5,12.28,9.16,3.76,0.87,34.57,4.63,6.21,48.29
2,"ours1.s1",8.45,10.96,8.44,3.73,1.08,32.68,4.82,0,39.5
2,"ours1.s2",0.94,1.06,0.8,0.45,0.08,3.33,0.53,0,4.98
2,"ours1.total",9.39,12.03,9.24,4.19,1.16,36,5.35,5.87,44.48
2,"ours2.s1",8.65,11.18,8.43,3.61,0.95,32.81,4.56,0,40.33
2,"ours2.s2",0.78,0.94,0.77,0.48,0.07,3.04,0.55,0,4.65
2,"ours2.total",9.43,12.12,9.19,4.09,1.02,35.85,5.11,5.87,44.98
2,"ours3.s1",8.55,11.24,8.43,3.65,1.05,32.92,4.7,0,40.34
2,"ours3.s2",0,0,0,0,0,0,0,0,0
2,"ours3.total",8.55,11.24,8.43,3.65,1.05,32.92,4.7,5.88,40.34
2,"titeet",6.6,12.4,7.5,2.7,0.7,29.9,3.4,5.3,38.8
2,"tite12",5.6,7.9,6,3.5,1.5,24.5,5,4.8,32.28
2,"bfet",6.56,10.43,9.09,4.72,1.64,32.44,6.36,6.32,38.1
6,"ours0.s1",6.1,7.87,9.63,9.51,4.4,37.51,4.4,0,51.7
6,"ours0.s2",0.04,0.12,0.39,1,0.47,2.02,0.47,0,3.22
6,"ours0.total",6.14,7.99,10.02,10.51,4.87,39.53,4.87,5.14,54.92
