"setting.idx","method","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5","early.stop"
1,"MTD.ours0",36.16,43.9,14.88,2.96,0.62,1.48
1,"OBD.ours0",72.72,20.34,4.34,0.66,0.06,
1,"MTD.bf",35.3,45.82,14,3.06,0.52,1.3
1,"OBD.bf",71.32,21.96,4.14,0.9,0,
1,"MTD.ours1",35.34,44.06,15.32,3.34,0.72,1.22
1,"OBD.ours1",71.46,21.32,4.34,0.72,0.16,
1,"MTD.ours2",35.5,44.38,14.9,3.26,0.48,1.48
1,"OBD.ours2",71.96,21.64,3.46,0.68,0.08,
1,"MTD.ours3",34.5,43.8,15.26,4.32,0.84,1.28
1,"OBD.ours3",70.68,21.36,4.78,1.22,0.1,
1,"MTD.titeet",35.7,46,14.2,2.8,0.4,1.2
1,"OBD.titeet",60.7,24.7,9.6,3.2,0.5,
1,"MTD.tite12",13.5,42.6,27.7,9.1,4,3.1
1,"OBD.tite12",58.6,26,8.6,3,0.7,
1,"MTD.bfet",,,,,,1.6
1,"OBD.bfet",67.8,23.8,5.6,1.1,0.2,
5,"MTD.ours0",1.94,22.3,50.18,21.02,4.56,0
5,"OBD.ours0",15.5,21.28,51.02,7.32,1.22,
5,"MTD.bf",1.5,22.46,50.86,20.7,4.48,0
5,"OBD.bf",16.9,21.28,51.02,7.3,1.24,
5,"MTD.ours1",1.6,22.56,48.98,22.02,4.82,0.02
5,"OBD.ours1",16.1,21.28,49.06,8.2,1.38,
5,"MTD.ours2",1.84,22.02,49.58,21.66,4.88,0.02
5,"OBD.ours2",15.78,21,50.18,8.24,1.16,
5,"MTD.ours3",1.76,22.22,48.64,22.06,5.32,0
5,"OBD.ours3",16.52,21.34,48.26,8.42,1.74,
5,"MTD.titeet",1.4,19.4,55.8,19.2,4.2,1.5
5,"OBD.titeet",18.6,15.9,45.6,14,4.4,
5,"MTD.tite12",0.4,13.3,40.3,28.6,14.6,2.76
5,"OBD.tite12",19.9,18.5,42.6,12.9,3.3,
5,"MTD.bfet",,,,,,2.1
5,"OBD.bfet",17.2,19,49.9,10,1.7,
11,"MTD.ours0",37.02,45.32,13.52,2.54,0.62,0.98
11,"OBD.ours0",73.28,21.06,3.56,0.42,0.08,
11,"MTD.bf",35.74,46.6,13.3,2.68,0.36,1.32
11,"OBD.bf",71.36,22.12,4.16,0.68,0.02,
11,"MTD.ours1",35.6,45.28,14.28,3.14,0.44,1.26
11,"OBD.ours1",71.98,22.3,3.38,0.62,0.02,
11,"MTD.ours2",35.86,44.84,14.78,2.58,0.42,1.52
11,"OBD.ours2",72.72,20.92,3.84,0.5,0.04,
