"setting.idx","metric","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5"
1,"True.Tox",0.15,0.25,0.35,0.4,0.45
1,"True.Eff",0.35,0.35,0.36,0.37,0.37
1,"True.Utility",0.25,0.18,0.13,0.1,0.07
5,"True.Tox",0.05,0.12,0.22,0.35,0.4
5,"True.Eff",0.1,0.15,0.38,0.38,0.4
5,"True.Utility",0.07,0.07,0.23,0.15,0.13
11,"True.Tox",0.15,0.25,0.35,0.4,0.45
11,"True.Eff",0.35,0.35,0.36,0.37,0.37
11,"True.Utility",0.25,0.18,0.13,0.1,0.07
2,"True.Tox",0.05,0.15,0.25,0.35,0.4
2,"True.Eff",0.15,0.35,0.36,0.37,0.37
2,"True.Utility",0.12,0.25,0.19,0.14,0.1
6,"True.Tox",0.02,0.06,0.1,0.22,0.35
6,"True.Eff",0.05,0.1,0.15,0.38,0.4
6,"True.Utility",0.04,0.06,0.08,0.23,0.17
7,"True.Tox",0.05,0.15,0.25,0.35,0.4
7,"True.Eff",0.35,0.35,0.36,0.37,0.37
7,"True.Utility",0.32,0.25,0.19,0.14,0.1
4,"True.Tox",0.01,0.03,0.06,0.1,0.25
4,"True.Eff",0.05,0.1,0.15,0.35,0.36
4,"True.Utility",0.04,0.08,0.11,0.28,0.19
9,"True.Tox",0.02,0.06,0.18,0.25,0.35
9,"True.Eff",0.15,0.35,0.36,0.37,0.37
9,"True.Utility",0.14,0.31,0.24,0.2,0.14
3,"True.Tox",0.02,0.06,0.1,0.25,0.35
3,"True.Eff",0.05,0.1,0.35,0.36,0.37
3,"True.Utility",0.04,0.06,0.28,0.19,0.14
21,"True.Tox",0.15,0.25,0.35,0.4,0.45
21,"True.Eff",0.35,0.35,0.36,0.37,0.37
21,"True.Utility",0.25,0.18,0.13,0.1,0.07
8,"True.Tox",0.08,0.12,0.18,0.25,0.35
8,"True.Eff",0.38,0.38,0.39,0.4,0.4
8,"True.Utility",0.33,0.3,0.27,0.23,0.17
15,"True.Tox",0.05,0.12,0.22,0.35,0.4
15,"True.Eff",0.1,0.15,0.38,0.38,0.4
15,"True.Utility",0.07,0.07,0.23,0.15,0.13
10,"True.Tox",0.05,0.08,0.15,0.18,0.25
10,"True.Eff",0.15,0.38,0.38,0.39,0.4
10,"True.Utility",0.12,0.33,0.28,0.27,0.23
12,"True.Tox",0.05,0.15,0.25,0.35,0.4
12,"True.Eff",0.15,0.35,0.36,0.37,0.37
12,"True.Utility",0.12,0.25,0.19,0.14,0.1
16,"True.Tox",0.02,0.06,0.1,0.22,0.35
16,"True.Eff",0.05,0.1,0.15,0.38,0.4
16,"True.Utility",0.04,0.06,0.08,0.23,0.17
17,"True.Tox",0.05,0.15,0.25,0.35,0.4
17,"True.Eff",0.35,0.35,0.36,0.37,0.37
17,"True.Utility",0.32,0.25,0.19,0.14,0.1
25,"True.Tox",0.05,0.12,0.22,0.35,0.4
25,"True.Eff",0.1,0.15,0.38,0.38,0.4
25,"True.Utility",0.07,0.07,0.23,0.15,0.13
14,"True.Tox",0.01,0.03,0.06,0.1,0.25
14,"True.Eff",0.05,0.1,0.15,0.35,0.36
14,"True.Utility",0.04,0.08,0.11,0.28,0.19
19,"True.Tox",0.02,0.06,0.18,0.25,0.35
19,"True.Eff",0.15,0.35,0.36,0.37,0.37
19,"True.Utility",0.14,0.31,0.24,0.2,0.14
22,"True.Tox",0.05,0.15,0.25,0.35,0.4
22,"True.Eff",0.15,0.35,0.36,0.37,0.37
22,"True.Utility",0.12,0.25,0.19,0.14,0.1
