"setting.idx","method","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5","EN","EN.Overdose","DLT_pts","duration"
41,"ours0.s1",14,11.18,4.3,0.9,0.11,30.49,5.3,0,26.86
41,"ours0.s2",0.01,0.05,0.09,0.05,0.01,0.2,0.15,0,0.17
41,"ours0.total",14.01,11.23,4.39,0.95,0.13,30.69,5.46,6.78,27.04
41,"bf.s1",13.63,11.27,4.45,0.88,0.1,30.33,5.43,0,26.68
41,"bf.s2",0,0,0,0,0,0,0,0,0
41,"bf.total",13.63,11.27,4.45,0.88,0.1,30.33,5.43,6.78,26.68
41,"ours1.s1",13.65,10.95,4.5,1.03,0.18,30.3,5.71,0,21.46
41,"ours1.s2",0.01,0.04,0.12,0.06,0.01,0.24,0.19,0,0.21
41,"ours1.total",13.66,10.99,4.62,1.09,0.19,30.54,5.89,6.8,21.67
41,"ours2.s1",13.68,10.93,4.5,1.01,0.12,30.24,5.63,0,21.71
41,"ours2.s2",0.01,0.06,0.1,0.04,0.01,0.22,0.15,0,0.21
41,"ours2.total",13.69,10.99,4.61,1.05,0.13,30.46,5.78,6.78,21.92
41,"ours3.s1",13.75,10.95,4.49,0.98,0.15,30.32,5.62,0,21.76
41,"ours3.s2",0,0,0,0,0,0,0,0,0
41,"ours3.total",13.75,10.95,4.49,0.98,0.15,30.32,5.62,6.81,21.76
41,"titeet",15.8,9.3,3.6,0.9,0.2,29.8,4.7,6.5,20.78
41,"tite12",8.4,6.5,4.1,2.3,1,22.3,7.4,5.7,17.88
41,"bfet",12.35,10.12,4.39,1.2,0.23,28.29,5.82,6.04,16.9
21,"ours0.s1",13.97,11,4.32,0.81,0.1,30.2,5.24,0,26.61
21,"ours0.s2",0,0.04,0.08,0.06,0.01,0.18,0.14,0,0.18
21,"ours0.total",13.97,11.04,4.41,0.87,0.1,30.39,5.38,6.76,26.79
21,"bf.s1",13.63,11.27,4.45,0.88,0.1,30.33,5.43,0,26.68
