"setting.idx","method","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5","early.stop"
41,"MTD.ours0",35.94,46.32,14,2.18,0.32,1.24
41,"OBD.ours0",81.5,14.54,1.72,0.2,0.06,
41,"MTD.bf",35.82,46.38,14.04,2.12,0.32,1.32
41,"OBD.bf",84.66,11.3,1.82,0.48,0.1,
41,"MTD.ours1",35.52,44.66,14.58,3.14,0.62,1.48
41,"OBD.ours1",80.66,15.36,1.78,0.28,0.02,
41,"MTD.ours2",35.38,46.26,14.48,2.48,0.36,1.04
41,"OBD.ours2",82.08,14.52,1.74,0.16,0,
41,"MTD.ours3",35.32,47.3,12.78,3,0.36,1.24
41,"OBD.ours3",80.7,14.76,1.92,0.7,0,
41,"MTD.titeet",35.7,45.8,14.4,3,0.4,1.3
41,"OBD.titeet",61.2,25.3,9.2,2.4,0.5,
41,"MTD.tite12",14.4,39.5,27.3,11.1,4.5,3.08
41,"OBD.tite12",57,25.8,10,3.3,0.8,
41,"MTD.bfet",,,,,,1.7
41,"OBD.bfet",72,21.3,4.2,0.6,0,
21,"MTD.ours0",37.5,45.82,13.06,2.16,0.2,1.26
21,"OBD.ours0",64.96,28,4.5,0.6,0.04,
21,"MTD.bf",35.82,46.38,14.04,2.12,0.32,1.32
21,"OBD.bf",63.68,27.82,6.02,0.72,0.12,
21,"MTD.ours1",35.86,45.28,14.3,2.9,0.3,1.36
21,"OBD.ours1",64.14,27.28,5.86,0.76,0.08,
21,"MTD.ours2",35.54,46.24,14.4,2.36,0.36,1.1
21,"OBD.ours2",64.28,27.76,5.56,0.64,0.08,
21,"MTD.ours3",35.02,47.44,12.88,3.02,0.42,1.22
21,"OBD.ours3",63.66,27.4,5.6,1.28,0.16,
21,"MTD.titeet",35.7,45.8,14.4,3,0.4,1.3
21,"OBD.titeet",61.2,25.3,9.2,2.4,0.5,
21,"MTD.tite12",14.4,39.5,27.3,11.1,4.5,3.08
21,"OBD.tite12",57,25.8,10,3.3,0.8,
21,"MTD.bfet",,,,,,1.7
21,"OBD.bfet",72,21.3,4.2,0.6,0,
31,"MTD.ours0",36.42,45.94,13.78,2.16,0.4,1.3
31,"OBD.ours0",78.54,16.62,2.44,0.3,0.06,
31,"MTD.bf",35.82,46.38,14.04,2.12,0.32,1.32
31,"OBD.bf",79.02,15.86,2.88,0.5,0.1,
31,"MTD.ours1",35.72,45.18,14.58,2.76,0.44,1.32
31,"OBD.ours1",77.8,17.8,2.32,0.3,0.02,
31,"MTD.ours2",35.92,45.64,14.18,2.5,0.58,1.18
31,"OBD.ours2",78.56,16.92,2.28,0.5,0.04,
31,"MTD.ours3",35.14,47.18,13,3.06,0.38,1.24
31,"OBD.ours3",77.64,16.66,2.8,0.9,0.08,
31,"MTD.titeet",35.7,45.8,14.4,3,0.4,1.3
31,"OBD.titeet",61.2,25.3,9.2,2.4,0.5,
31,"MTD.tite12",14.4,39.5,27.3,11.1,4.5,3.08
31,"OBD.tite12",57,25.8,10,3.3,0.8,
31,"MTD.bfet",,,,,,1.7
31,"OBD.bfet",72,21.3,4.2,0.6,0,
11,"MTD.ours0",37.9,45.32,13.24,1.96,0.26,1.32
11,"OBD.ours0",67.84,25.64,4.04,0.52,0.04,
11,"MTD.bf",35.82,46.38,14.04,2.12,0.32,1.32
11,"OBD.bf",66.1,25.92,5.54,0.66,0.14,
11,"MTD.ours1",36.3,45.06,14.44,2.7,0.3,1.2
11,"OBD.ours1",67.34,25.02,5.08,0.76,0.1,
