"setting.idx","metric","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5"
41,"True.Tox",0.15,0.25,0.35,0.4,0.45
41,"True.Eff",0.35,0.35,0.36,0.37,0.37
41,"True.Utility",-0.25,-0.65,-1.04,-1.23,-1.43
21,"True.Tox",0.15,0.25,0.35,0.4,0.45
21,"True.Eff",0.35,0.35,0.36,0.37,0.37
21,"True.Utility",0.35,0.35,0.36,0.37,0.37
31,"True.Tox",0.15,0.25,0.35,0.4,0.45
31,"True.Eff",0.35,0.35,0.36,0.37,0.37
31,"True.Utility",0.12,-0.03,-0.16,-0.23,-0.31
11,"True.Tox",0.15,0.25,0.35,0.4,0.45
11,"True.Eff",0.35,0.35,0.36,0.37,0.37
11,"True.Utility",0.31,0.29,0.27,0.27,0.26
1,"True.Tox",0.15,0.25,0.35,0.4,0.45
1,"True.Eff",0.35,0.35,0.36,0.37,0.37
1,"True.Utility",0.25,0.18,0.13,0.1,0.07
25,"True.Tox",0.05,0.12,0.22,0.35,0.4
25,"True.Eff",0.1,0.15,0.38,0.38,0.4
25,"True.Utility",0.1,0.15,0.38,0.38,0.4
45,"True.Tox",0.05,0.12,0.22,0.35,0.4
45,"True.Eff",0.1,0.15,0.38,0.38,0.4
45,"True.Utility",-0.1,-0.33,-0.5,-1.02,-1.2
35,"True.Tox",0.05,0.12,0.22,0.35,0.4
35,"True.Eff",0.1,0.15,0.38,0.38,0.4
35,"True.Utility",0.02,-0.03,0.05,-0.14,-0.2
15,"True.Tox",0.05,0.12,0.22,0.35,0.4
15,"True.Eff",0.1,0.15,0.38,0.38,0.4
15,"True.Utility",0.09,0.12,0.32,0.29,0.3
5,"True.Tox",0.05,0.12,0.22,0.35,0.4
5,"True.Eff",0.1,0.15,0.38,0.38,0.4
5,"True.Utility",0.07,0.07,0.23,0.15,0.13
42,"True.Tox",0.05,0.15,0.25,0.35,0.4
42,"True.Eff",0.15,0.35,0.36,0.37,0.37
42,"True.Utility",-0.05,-0.25,-0.64,-1.03,-1.23
22,"True.Tox",0.05,0.15,0.25,0.35,0.4
22,"True.Eff",0.15,0.35,0.36,0.37,0.37
22,"True.Utility",0.15,0.35,0.36,0.37,0.37
2,"True.Tox",0.05,0.15,0.25,0.35,0.4
2,"True.Eff",0.15,0.35,0.36,0.37,0.37
2,"True.Utility",0.12,0.25,0.19,0.14,0.1
46,"True.Tox",0.02,0.06,0.1,0.22,0.35
46,"True.Eff",0.05,0.1,0.15,0.38,0.4
46,"True.Utility",-0.03,-0.14,-0.25,-0.5,-1
12,"True.Tox",0.05,0.15,0.25,0.35,0.4
12,"True.Eff",0.15,0.35,0.36,0.37,0.37
12,"True.Utility",0.14,0.31,0.3,0.28,0.27
32,"True.Tox",0.05,0.15,0.25,0.35,0.4
32,"True.Eff",0.15,0.35,0.36,0.37,0.37
32,"True.Utility",0.07,0.12,-0.02,-0.15,-0.23
26,"True.Tox",0.02,0.06,0.1,0.22,0.35
26,"True.Eff",0.05,0.1,0.15,0.38,0.4
26,"True.Utility",0.05,0.1,0.15,0.38,0.4
36,"True.Tox",0.02,0.06,0.1,0.22,0.35
36,"True.Eff",0.05,0.1,0.15,0.38,0.4
36,"True.Utility",0.02,0.01,-0,0.05,-0.12
16,"True.Tox",0.02,0.06,0.1,0.22,0.35
16,"True.Eff",0.05,0.1,0.15,0.38,0.4
16,"True.Utility",0.05,0.09,0.12,0.32,0.31
47,"True.Tox",0.05,0.15,0.25,0.35,0.4
47,"True.Eff",0.35,0.35,0.36,0.37,0.37
47,"True.Utility",0.15,-0.25,-0.64,-1.03,-1.23
7,"True.Tox",0.05,0.15,0.25,0.35,0.4
7,"True.Eff",0.35,0.35,0.36,0.37,0.37
7,"True.Utility",0.32,0.25,0.19,0.14,0.1
6,"True.Tox",0.02,0.06,0.1,0.22,0.35
6,"True.Eff",0.05,0.1,0.15,0.38,0.4
6,"True.Utility",0.04,0.06,0.08,0.23,0.17
37,"True.Tox",0.05,0.15,0.25,0.35,0.4
37,"True.Eff",0.35,0.35,0.36,0.37,0.37
37,"True.Utility",0.27,0.12,-0.02,-0.15,-0.23
27,"True.Tox",0.05,0.15,0.25,0.35,0.4
27,"True.Eff",0.35,0.35,0.36,0.37,0.37
27,"True.Utility",0.35,0.35,0.36,0.37,0.37
17,"True.Tox",0.05,0.15,0.25,0.35,0.4
17,"True.Eff",0.35,0.35,0.36,0.37,0.37
17,"True.Utility",0.34,0.31,0.3,0.28,0.27
44,"True.Tox",0.01,0.03,0.06,0.1,0.25
44,"True.Eff",0.05,0.1,0.15,0.35,0.36
44,"True.Utility",0.01,-0.02,-0.09,-0.05,-0.64
24,"True.Tox",0.01,0.03,0.06,0.1,0.25
24,"True.Eff",0.05,0.1,0.15,0.35,0.36
24,"True.Utility",0.05,0.1,0.15,0.35,0.36
14,"True.Tox",0.01,0.03,0.06,0.1,0.25
14,"True.Eff",0.05,0.1,0.15,0.35,0.36
14,"True.Utility",0.05,0.09,0.14,0.32,0.3
4,"True.Tox",0.01,0.03,0.06,0.1,0.25
4,"True.Eff",0.05,0.1,0.15,0.35,0.36
4,"True.Utility",0.04,0.08,0.11,0.28,0.19
34,"True.Tox",0.01,0.03,0.06,0.1,0.25
