"SRMin","PowerMin","n.stage1","n.stage2","n.total.trial"
0.6,0.6,12,30,138
0.6,0.62,12,30,138
0.6,0.64,12,30,138
0.6,0.6599999999999999,12,32,144
0.6,0.6799999999999999,12,34,150
0.65,0.6,12,38,162
0.65,0.62,12,38,162
0.6,0.7,18,34,174
0.6,0.72,18,36,180
0.7,0.64,12,44,180
0.7,0.62,12,44,180
0.7,0.6599999999999999,12,44,180
0.7,0.6,12,44,180
0.6,0.74,18,38,186
0.7,0.6799999999999999,12,44,180
0.7,0.72,12,44,180
0.7,0.7,12,44,180
0.6,0.76,18,40,192
0.75,0.64,12,50,198
0.75,0.6,12,50,198
0.7,0.74,18,38,186
0.75,0.62,12,50,198
0.75,0.6799999999999999,12,50,198
0.75,0.6599999999999999,12,50,198
0.75,0.7,12,50,198
0.65,0.76,18,40,192
0.7,0.76,18,40,192
0.75,0.72,12,50,198
0.75,0.74,12,50,198
0.75,0.76,12,50,198
0.6,0.78,22,38,202
0.65,0.78,22,38,202
0.75,0.78,18,44,204
0.7,0.78,22,38,202
0.6,0.8,18,46,210
0.7,0.8,18,46,210
0.75,0.8,18,46,210
0.65,0.8,18,46,210
0.65,0.6599999999999999,12,38,162
0.65,0.64,12,38,162
0.65,0.6799999999999999,8,44,164
0.6,0.82,12,58,222
0.65,0.82,12,58,222
0.75,0.82,12,58,222
0.65,0.7,18,34,174
0.7,0.82,12,58,222
0.65,0.72,18,36,180
0.65,0.74,18,38,186
0.8,0.82,22,50,238
0.8,0.76,22,50,238
0.8,0.8,22,50,238
0.8,0.78,22,50,238
0.8,0.6,22,50,238
0.8,0.62,22,50,238
0.8,0.72,22,50,238
0.8,0.7,22,50,238
0.8,0.6599999999999999,22,50,238
0.8,0.74,22,50,238
0.8,0.64,22,50,238
0.8,0.6799999999999999,22,50,238
0.8,0.84,22,52,244
0.75,0.84,22,52,244
0.6,0.84,22,52,244
0.65,0.84,22,52,244
0.7,0.84,22,52,244
0.8,0.86,22,56,256
0.65,0.86,22,56,256
0.75,0.86,22,56,256
0.6,0.86,22,56,256
0.7,0.86,22,56,256
0.8,0.88,22,60,268
0.65,0.88,22,60,268
0.6,0.88,22,60,268
0.7,0.88,22,60,268
0.75,0.88,22,60,268
0.8,0.8999999999999999,24,70,306
0.65,0.8999999999999999,24,70,306
0.6,0.8999999999999999,24,70,306
0.7,0.8999999999999999,24,70,306
0.75,0.8999999999999999,24,70,306
